Year,Site,N.Sus,Tree_cover,Mean_temp,Annual_prec,pH,NH4,SO4,K,NO3,cv_prec,tot_prec_growing_season,mean_temp_growing_season,CDD_annuale,CDD_growing_season,DefM,Richness,Shrub_cover,TX90p_annual,Temp_seasonality,Forest_type
2005,TOS1,12,78.75,14.6,828.1,NA,NA,NA,NA,NA,68.54,196.7,20.33,32,32,21.33,30,39.58,14.79,7.3,Mediterranean forest
2005,TOS2,12,71.25,14.39,619.5,NA,NA,NA,NA,NA,77.25,126.9,19.65,26,26,26.33,18,19.58,19.18,6.93,Mediterranean forest
2005,TOS3,12,91.25,10.51,1174.1,NA,NA,NA,NA,NA,75.02,381.1,16.48,22,22,25.67,17,4.58,11.51,7.48,Nemoral beech forest
2005,TRE1,12,35,8.8,755.1,NA,NA,NA,NA,NA,62.59,412.4,15.15,32,8,11.5,15,2.83,24.38,7.67,Boreal forest
2005,UMB1,12,85.42,11.76,1342.7,NA,NA,NA,NA,NA,70.1,451.9,17.75,23,23,22.17,45,85,10.68,7.35,Nemoral oak forest
2005,VAL1,12,62.5,3.05,789.9,NA,NA,NA,NA,NA,49.08,426,8.5,17,10,18.79,32,1.33,16.16,7.18,Boreal forest
2005,VEN1,12,88.33,8.33,1102.8,NA,NA,NA,NA,NA,72.43,584.8,14.82,33,9,17.07,35,0,18.63,7.87,Nemoral beech forest
2006,ABR1,12,91.08,12.69,888.3,6.958,0.01,0.866,0.178,0.01,70.16,260.9,17.66,24,24,13.67,21,3.5,45.21,6.49,Nemoral beech forest
2006,BAS1,12,79.58,12.78,555.5,NA,NA,NA,NA,NA,55.71,186.2,17.19,23,22,14,63,7.5,15.62,6.06,Nemoral oak forest
2006,CAL1,12,86.08,13.94,1197.6,NA,NA,NA,NA,NA,57.87,276.8,18.56,21,21,24.3,39,0.79,14.25,5.95,Nemoral beech forest
2006,CAM1,12,93.58,12.83,669.8,NA,NA,NA,NA,NA,54.02,214,17.11,23,22,22.17,28,1.67,24.66,5.97,Nemoral beech forest
2006,EMI1,12,88.25,13.61,481.5,NA,NA,NA,NA,NA,76.17,140.5,20.51,29,29,36.52,30,15.83,23.29,8.64,Nemoral oak forest
2006,FRI1,12,89.75,13.18,777.9,NA,NA,NA,NA,NA,75.87,366.2,19.42,30,30,14.52,53,26.42,19.45,7.92,Nemoral oak forest
2006,LAZ1,12,73.33,13.86,579.2,5.796,0.084,1.946,0.124,0.01,62.83,118.3,19.03,30,30,11.67,52,14.58,14.52,6.84,Nemoral oak forest
2006,LOM1,11,63.18,2.37,1070.7,5.557,0.073,0.397,0.567,0.114,46.19,523.6,6.58,22,22,19.67,55,8,14.52,6.48,Boreal forest
2006,LOM3,12,89.42,7.73,905.5,NA,NA,NA,NA,NA,43.28,432.5,12.68,24,24,33,42,0.5,16.99,6.8,Nemoral beech forest
2006,MAR1,12,80.83,13.7,769.8,NA,NA,NA,NA,NA,45.81,346.5,18.98,25,25,11,53,33.33,18.08,6.8,Nemoral oak forest
2006,PIE2,12,75,13.52,641,NA,NA,NA,NA,NA,65.38,230.6,20.17,26,25,43,20,26.92,27.12,8.47,Nemoral oak forest
2006,PIE3,12,41,5.25,780.4,NA,NA,NA,NA,NA,50,379,9.89,14,14,8,87,24.02,19.73,6.92,Boreal forest
2006,SAR1,12,83.33,15.66,752.7,NA,NA,NA,NA,NA,110.34,49.5,19.88,36,36,15.86,22,7.79,37.26,5.99,Mediterranean forest
2006,TOS1,12,87.5,15.41,705.7,NA,NA,NA,NA,NA,75.61,125.6,20.48,36,36,21.5,28,32.5,23.84,6.8,Mediterranean forest
2006,VAL1,12,65.42,4.1,1024.5,NA,NA,NA,NA,NA,49.69,492.1,8.45,18,14,17.17,29,1.42,15.07,6.77,Boreal forest
2006,VEN1,12,94.58,9.17,1009.8,NA,NA,NA,NA,NA,64.77,558,14.97,24,16,13.76,35,0,31.78,7.62,Nemoral beech forest
2006,VEN2,12,85.42,14.1,432.8,NA,NA,NA,NA,NA,100.84,159,21.05,30,30,25.97,25,56.25,29.86,8.59,Nemoral oak forest
